0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:47:59 +0300] "GET /kursach/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/login.xhtml HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/jakarta.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/jakarta.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/login.xhtml HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/login.xhtml HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:00 +0300] "GET /kursach/login.xhtml HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "POST /kursach/loginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/index.xhtml HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11205
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108062
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89196
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:01 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 30217
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:54 +0300] "GET /kursach/index.xhtml HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:54 +0300] "GET /kursach/jakarta.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 5819
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:54 +0300] "GET /kursach/jakarta.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11205
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:54 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:54 +0300] "GET /kursach/jakarta.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [24/Dec/2025:15:48:54 +0300] "GET /kursach/jakarta.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89196
